sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.gyroscope,1468038763803072,1468038770451282,1775212846629,-0.0058032153,0.2751946,0.13683371,3
android.sensor.accelerometer,1468038776766041,1468038784805761,1775212846643,-0.10887343,8.926425,4.3734818,3
android.sensor.gyroscope,1468038787547656,1468038794510656,1775212846653,0.016187917,0.23976442,0.14905101,3
android.sensor.gyroscope,1468038806543281,1468038814748365,1775212846673,-0.011911863,0.27275112,0.16737695,3
android.sensor.accelerometer,1468038805259479,1468038814880865,1775212846673,0.0849452,8.909675,4.3040895,3
android.sensor.gyroscope,1468038830287864,1468038836911698,1775212846695,-0.010690134,0.17012584,0.13194679,3
android.sensor.accelerometer,1468038833752968,1468038841595709,1775212846700,0.41994038,8.4909315,4.77069,3
android.sensor.gyroscope,1468038854032447,1468038860659771,1775212846719,0.010079269,0.013744458,-0.0036651888,3
android.sensor.accelerometer,1468038862246458,1468038870812063,1775212846729,0.38404804,8.596215,4.330411,3
android.sensor.gyroscope,1468038877776979,1468038884093104,1775212846743,-0.010690134,-0.027794348,-0.07819069,3
android.sensor.accelerometer,1468038890739895,1468038900804354,1775212846759,0.13040884,8.864211,4.150949,3
android.sensor.gyroscope,1468038901521562,1468038908289354,1775212846767,3.054324E-4,-0.016798781,-0.06963859,3
android.sensor.accelerometer,1468038919233385,1468038927517844,1775212846786,0.051445685,8.835498,4.1150565,3
android.sensor.gyroscope,1468038925266093,1468038932183000,1775212846791,0.038179047,0.032070402,-0.037873615,3
android.sensor.gyroscope,1468038949010677,1468038955636854,1775212846814,0.03573559,0.068722285,-0.019547673,3
android.sensor.accelerometer,1468038947726875,1468038955734771,1775212846814,0.061016977,8.88814,4.060022,3
android.sensor.gyroscope,1468038972755260,1468038979887219,1775212846838,0.03940078,0.03573559,-0.040317077,3
android.sensor.accelerometer,1468038976220364,1468038984991646,1775212846844,0.14476576,8.845069,4.19402,3
android.sensor.gyroscope,1468038996499791,1468039003336958,1775212846862,-0.031459536,-0.085215636,-0.091629714,3
android.sensor.accelerometer,1468039004713854,1468039013016698,1775212846872,-0.18544376,9.077172,3.8590248,3
android.sensor.gyroscope,1468039020244375,1468039027067167,1775212846886,-0.11942407,-0.13164136,-0.05986475,3
android.sensor.accelerometer,1468039033207291,1468039042366281,1775212846901,-0.43429732,9.285348,3.9284165,3
android.sensor.gyroscope,1468039043988958,1468039050656073,1775212846909,-0.0876591,-9.162972E-4,0.02687805,3
android.sensor.accelerometer,1468039061700781,1468039069979458,1775212846929,-0.25722843,8.916854,4.265805,3
android.sensor.gyroscope,1468039067733489,1468039074577636,1775212846933,0.021074835,0.17501275,0.047647454,3
android.sensor.gyroscope,1468039091478072,1468039097806646,1775212846956,0.025961753,0.03451386,0.062308207,3
android.sensor.accelerometer,1468039090194270,1468039098005396,1775212846957,-1.2000005,9.163314,4.3998027,3
android.sensor.gyroscope,1468039115222656,1468039121569094,1775212846980,-0.060781047,0.07116575,0.24312419,3
android.sensor.accelerometer,1468039118687760,1468039127482688,1775212846986,-0.910469,9.361918,3.9930227,3
android.sensor.gyroscope,1468039138967239,1468039145771333,1775212847004,0.003970621,0.3423897,0.30665413,3
android.sensor.accelerometer,1468039147181250,1468039155618052,1775212847014,-0.58265233,9.177671,4.9932227,3
android.sensor.gyroscope,1468039162711770,1468039170552688,1775212847029,0.10415245,0.20311254,0.27000225,3
android.sensor.accelerometer,1468039175674739,1468039184202688,1775212847043,0.0011964113,8.773284,4.6558347,3
android.sensor.gyroscope,1468039186456354,1468039193861490,1775212847052,0.15302163,0.083383046,0.11728604,3
android.sensor.accelerometer,1468039204168229,1468039212746958,1775212847071,-0.17347965,8.849854,3.8614175,3
android.sensor.gyroscope,1468039210200937,1468039216852531,1775212847075,0.06994402,0.06017018,0.015882485,3
android.sensor.gyroscope,1468039233945468,1468039240314979,1775212847099,-0.091324285,0.03573559,0.035430156,3
android.sensor.accelerometer,1468039232661666,1468039240526125,1775212847099,-0.573081,9.072387,3.80399,3
android.sensor.gyroscope,1468039252941145,1468039260762792,1775212847119,-0.0962112,0.10537417,0.11117739,3
android.sensor.accelerometer,1468039251657343,1468039260885396,1775212847119,-0.38883367,9.050852,4.1294136,3
android.sensor.gyroscope,1468039276685729,1468039283268208,1775212847142,0.12125666,0.2849684,0.10995566,3
android.sensor.accelerometer,1468039280150833,1468039288489094,1775212847147,0.022731815,8.72782,4.512265,3
android.sensor.gyroscope,1468039300430312,1468039307912479,1775212847166,0.21044292,0.22143848,0.09407318,3
android.sensor.accelerometer,1468039308644322,1468039317529615,1775212847176,-0.013160525,8.933603,3.6317065,3
android.sensor.gyroscope,1468039324174843,1468039331105500,1775212847190,0.03940078,0.06017018,0.05864302,3
android.sensor.accelerometer,1468039337137812,1468039345549198,1775212847204,0.6472585,8.612965,3.7393837,3
android.sensor.gyroscope,1468039347919427,1468039355761698,1775212847214,-0.1414152,-0.17806709,-0.13316852,3
android.sensor.accelerometer,1468039365631302,1468039373693469,1775212847232,0.31226337,8.85464,3.9284165,3
android.sensor.gyroscope,1468039371664010,1468039378674615,1775212847237,-0.12675445,-0.182954,-0.23823726,3
android.sensor.gyroscope,1468039395408593,1468039402126281,1775212847261,-0.02046397,-0.06444623,-0.16371176,3
android.sensor.accelerometer,1468039394124791,1468039402232167,1775212847261,-0.24765715,9.249456,3.6197424,3
android.sensor.gyroscope,1468039419153177,1468039425839198,1775212847284,-0.10354158,0.047952887,-0.04886918,3
android.sensor.accelerometer,1468039422618281,1468039430759458,1775212847289,-0.2213361,9.180064,3.437888,3
android.sensor.gyroscope,1468039442897760,1468039450210552,1775212847309,-0.12553272,0.15668681,-0.02687805,3
android.sensor.accelerometer,1468039451111770,1468039460689510,1775212847319,0.08015956,8.620144,4.6582274,3
android.sensor.gyroscope,1468039466642291,1468039473267740,1775212847332,0.038179047,0.050396346,-0.1404989,3
android.sensor.accelerometer,1468039479605260,1468039487413573,1775212847346,-0.22851457,8.912068,4.4021955,3
android.sensor.gyroscope,1468039485637968,1468039493388260,1775212847352,0.1273653,-0.011911863,-0.14782928,3
android.sensor.accelerometer,1468039508098750,1468039516405292,1775212847375,-0.6113662,9.211171,3.4259238,3
android.sensor.gyroscope,1468039509382552,1468039516535448,1775212847375,0.024740024,0.025961753,-0.05986475,3
android.sensor.gyroscope,1468039533127135,1468039541001854,1775212847400,-0.10354158,0.100487255,0.020769402,3
android.sensor.accelerometer,1468039536592239,1468039544231646,1775212847403,-0.424726,8.988638,4.134199,3
android.sensor.gyroscope,1468039556871718,1468039563607844,1775212847422,-0.021685699,0.13225223,0.043982264,3
